Cat,Identifier,Variable,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
Sunny Z.,H25,p.global.CombinedPrey,0.436,0.193,0.115,0.158,0.295,0.417,0.554,0.797,0.864
,,p.global.IamsDF,0.564,0.193,0.136,0.203,0.446,0.583,0.705,0.842,0.885
Sunny B.,H60,p.global.CombinedPrey,0.329,0.178,0.035,0.064,0.201,0.307,0.437,0.65,0.72
,,p.global.IamsDF,0.671,0.178,0.28,0.35,0.563,0.693,0.799,0.936,0.965
Tallulah,H26,p.global.CombinedPrey,0.796,0.147,0.474,0.531,0.7,0.819,0.919,0.986,0.994
,,p.global.KirklandDF,0.204,0.147,0.006,0.014,0.081,0.181,0.3,0.469,0.526
Tara,H7,p.global.Catfood,0.44,0.222,0.033,0.062,0.266,0.456,0.623,0.77,0.803
,,p.global.CombinedPrey,0.56,0.222,0.197,0.23,0.377,0.544,0.734,0.938,0.967
Tex,H66,p.global.CombinedPrey,0.195,0.191,0.005,0.01,0.052,0.126,0.281,0.605,0.697
,,p.global.DryFood,0.481,0.219,0.033,0.069,0.321,0.518,0.655,0.784,0.818
,,p.global.WetfoodFish,0.324,0.199,0.033,0.058,0.18,0.285,0.432,0.725,0.797
Tiger,H40,Model did not run,,,,,,,,,
Tonka Apple,H17,p.global.CombinedPrey,0.22,0.143,0.013,0.027,0.111,0.203,0.307,0.49,0.56
,,p.global.PurinaDF,0.362,0.201,0.022,0.04,0.201,0.361,0.511,0.692,0.735
,,p.global.WetfoodFish,0.169,0.145,0.007,0.012,0.063,0.131,0.236,0.459,0.568
,,p.global.WetfoodMeat,0.248,0.166,0.013,0.025,0.116,0.221,0.359,0.555,0.616
Trinity,H52,p.global.CombinedPrey,0.638,0.222,0.151,0.221,0.48,0.654,0.821,0.961,0.977
,,p.global.SGDF,0.362,0.222,0.023,0.039,0.179,0.346,0.52,0.779,0.849
Vacuum,H56,p.global.CombinedPrey,0.17,0.105,0.011,0.024,0.096,0.16,0.227,0.364,0.419
,,p.global.KKDF,0.476,0.162,0.09,0.161,0.379,0.501,0.593,0.704,0.731
,,p.global.WetfoodFish,0.105,0.107,0.003,0.005,0.031,0.07,0.144,0.33,0.408
,,p.global.WetfoodMeat,0.248,0.169,0.01,0.02,0.109,0.226,0.365,0.553,0.616
Ziggy,H68,Model did not run,,,,,,,,,
